codigo,producto,cant,costo,stock,ventas,envios,status,pedido
726542,SUERO FISIOLOGICO 0.9% EUROFARMA SOL. INY. FC,1,9601,1,1,0,BUFFER_MINIMO,1
726655,VILOX 20 CAPS.(ACT) CAJA X 10,3,6965,3,3,0,OK,0
727155,VITAMINA C 500 MG. LASCA COMP. CAJA X 100,1,2625,16,1,0,OK,0
727481,INACTIVOENTERO GAS PLUS SUSP. GOT. ORALES CAJ,1,22095,0,1,0,CRITICO,1
728499,CHOLIB 145 NG/20 MG. COMP. REC. C/PELICULA CA,1,112210,0,1,0,CRITICO,1
728735,"EMADIAN MET 12,5/850 COMP. REC. CAJA X 60",1,197200,0,1,0,CRITICO,1
729680,D-ONE CAPS. BLAND. CAJA X 1,1,36695,1,1,0,BUFFER_MINIMO,1
703932,GALENTOS SOL. ORAL CAJA X 1 FCO. X 120 ML.,1,17955,3,0,1,OK,0
711274,HIPOGLUCIN 850 MG. COMP. REC. CAJA X 30,1,32670,2,0,1,OK,0
712934,SYSTANE SP SOL. EST. CAJA X 1 FCO. X 10 ML.,1,96250,0,0,1,CRITICO,0
716882,CARDIOSAN 40 COMP. REC. CAJA X 30,1,44100,1,0,1,OK,0
721364,BUDECORT SUSP. EN AEROSOL CAJA X 10 ML. (200,1,60075,2,0,1,OK,0
722970,AVIR L GEL CAJA POMO X 15 G.,1,29833,2,0,1,OK,0
726322,CARDATEN 20 COMP. RAN. CAJA X 10,6,4025,13,0,6,OK,0
727767,AMOXIDAL PLUS C/12 COMP. REC. CAJA X 7,1,35550,1,0,1,OK,0
703319,ODONTOL GESIC COMP. REC. CAJA X 10,1,15000,0,0,0,CRITICO,0
729836,TRICOLAN OVULO VAGINAL CAJA X 10,1,20000,1,0,0,OK,0
709020,TIOTAL COMP. REC. RAN. CAJA X 20,1,11550,0,0,0,CRITICO,0
706730,IBUPIRAC FLEX COMP. CAJA X 10,1,0,0,0,0,CRITICO,0
726440,INHALAN AZ SUP. NASAL CAJA X 1 FCO. SPRAY INT,1,63672,0,0,0,CRITICO,0
409250,PASTA LAZAR C/ MANZANILLA PRODUSIL 100 gr.,1,6350,0,0,0,CRITICO,0
